	text	labels_0	labels_1	labels_2	labels_3	labels_4	labels_5	labels_6	labels_7	labels_8	labels_9	labels_10	labels_11	labels_12	labels_13	labels_14	labels_15
885	Hervorragend zart und auf den Punkt.	fq															
886	Hervorragende Speisen in einer wunderschönen Location.	('FOOD', 'POSITIVE', 'Speisen')	('AMBIENCE', 'POSITIVE', 'Location')														
887	Hervorragende Speisen in einer wunderschönen Location.	fq	ag														
888	Hervorzuheben ist hier auch die angepasste Speisekarte für die Veggies und Veganer.	('FOOD', 'POSITIVE', 'Speisekarte für die Veggies und Veganer')															
889	Hervorzuheben ist hier auch die angepasste Speisekarte für die Veggies und Veganer.	fs															
890	Heute war ich mit meiner Familie hier und wir hatten ein super Essenserlebnis.	('FOOD', 'POSITIVE', 'Essenserlebnis')															
891	Heute war ich mit meiner Familie hier und wir hatten ein super Essenserlebnis.	fq															
892	Hier findet jede Generation Platz und auch die Fellnasen sind hier herzlich willkommen!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
893	Hier findet jede Generation Platz und auch die Fellnasen sind hier herzlich willkommen!	rm															
894	Hier kommt man sicher kein zweites Mal mehr hin.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
895	Hier kommt man sicher kein zweites Mal mehr hin.	rg															
896	Hier stimmt alles!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
897	Hier stimmt alles!	rg															
898	Hier waren wir nach einem Konzert in der LOC und es hat uns sehr gut gefallen.	('GENERAL-IMPRESSION', 'POSITIVE', 'LOC')															
899	Hier waren wir nach einem Konzert in der LOC und es hat uns sehr gut gefallen.	rg															
900	Hier werden Sie mit leckerem Sardellencreme serviert.	('FOOD', 'POSITIVE', 'Sardellencreme')															
901	Hier werden Sie mit leckerem Sardellencreme serviert.	fq															
902	Hier wird man schlicht verarscht.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
903	Hier wird man schlicht verarscht.	rg															
904	Hier wurde mit Liebe gekocht.	('FOOD', 'POSITIVE', 'NULL')															
905	Hier wurde mit Liebe gekocht.	fq															
906	Highlight: Aufmerksamkeit der Bedienung Marco.	('SERVICE', 'POSITIVE', 'Marco')															
907	Highlight: Aufmerksamkeit der Bedienung Marco.	sg															
908	Hätte gerne nach dem tollen Essen einen Fernet Branca bestellt.	('FOOD', 'POSITIVE', 'Essen')															
909	Hätte gerne nach dem tollen Essen einen Fernet Branca bestellt.	fq															
910	Ich bin so enttäuschst.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
911	Ich bin so enttäuschst.	rg															
912	Ich fand es sehr solide in puncto Service, Ambiente und Auswahl an Speisen und Getränken.	('SERVICE', 'POSITIVE', 'Service')	('AMBIENCE', 'POSITIVE', 'Ambiente')	('FOOD', 'POSITIVE', 'Auswahl an Speisen')	('FOOD', 'POSITIVE', 'Getränken')												
913	Ich fand es sehr solide in puncto Service, Ambiente und Auswahl an Speisen und Getränken.	sg	ag	fs	ds												
914	Ich hab Salz, Pfeffer, Essig und Öl vermisst.	('FOOD', 'NEGATIVE', 'NULL')															
915	Ich hab Salz, Pfeffer, Essig und Öl vermisst.	fq															
916	Ich habe als Hauptgang ein Skreifiet auf Rote Beete Püree und sautiertem Spitzkohl gegessen und war sehr zufrieden.	('FOOD', 'POSITIVE', 'Rote Beete Püree')	('FOOD', 'POSITIVE', 'sautiertem Spitzkohl')														
917	Ich habe als Hauptgang ein Skreifiet auf Rote Beete Püree und sautiertem Spitzkohl gegessen und war sehr zufrieden.	fq	fq														
918	Ich habe dort keine schöne Erfahrung gemacht, dabei ist das Ambiente äußerst angenehm.	('AMBIENCE', 'POSITIVE', 'Ambiente')															
919	Ich habe dort keine schöne Erfahrung gemacht, dabei ist das Ambiente äußerst angenehm.	ag															
920	Ich habe hier einen wirklich leckeren Burger gegessen und die Atmosphäre war einfach toll!	('FOOD', 'POSITIVE', 'Burger')	('AMBIENCE', 'POSITIVE', 'Atmosphäre')														
921	Ich habe hier einen wirklich leckeren Burger gegessen und die Atmosphäre war einfach toll!	fq	ag														
922	Ich habe mich bei der Bedienung über das LOC beschwerd, dies wurde aber gekonnt Ignoriert.	('SERVICE', 'NEGATIVE', 'Bedienung')															
923	Ich habe mich bei der Bedienung über das LOC beschwerd, dies wurde aber gekonnt Ignoriert.	sg															
924	Ich habe noch nie soo leckeres Essen gegessen!!	('FOOD', 'POSITIVE', 'Essen')															
925	Ich habe noch nie soo leckeres Essen gegessen!!	fq															
926	Ich habe schon deutlich besser gegessen und nur die Hälfte bezahlt.	('PRICE', 'NEGATIVE', 'NULL')	('FOOD', 'NEGATIVE', 'NULL')														
927	Ich habe schon deutlich besser gegessen und nur die Hälfte bezahlt.	fp	fq														
928	Ich kann das LOC nur empfehlen, wenn Sie die beste Bratwurst in der LOC genießen möchten!	('FOOD', 'POSITIVE', 'Bratwurst')															
929	Ich kann das LOC nur empfehlen, wenn Sie die beste Bratwurst in der LOC genießen möchten!	fq															
930	Ich kann es nur empfehlen 👍🏻 Wir waren mit einer großen Gruppe und hatten sehr viel Spaß!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
931	Ich kann es nur empfehlen 👍🏻 Wir waren mit einer großen Gruppe und hatten sehr viel Spaß!	rg															
932	Ich kann nur sagen: FINGER WEG!!!	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
933	Ich kann nur sagen: FINGER WEG!!!	rg															
934	Ich musste meine erste Portion Spannferkel zurück schicken, es war ein grosses Stück Fett.	('FOOD', 'NEGATIVE', 'Spannferkel')															
935	Ich musste meine erste Portion Spannferkel zurück schicken, es war ein grosses Stück Fett.	fq															
936	Ich war bereits öfter mit Familie und/oder Freunden hier und war immer sehr zufrieden.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
937	Ich war bereits öfter mit Familie und/oder Freunden hier und war immer sehr zufrieden.	rg															
938	Ich war ein absoluter Stammkunde, aber das hat jetzt ein Ende.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
939	Ich war ein absoluter Stammkunde, aber das hat jetzt ein Ende.	rg															
940	Ich weiß nicht was das soll.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
941	Ich weiß nicht was das soll.	rg															
942	Ich werde dort nicht noch einmal essen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
943	Ich werde dort nicht noch einmal essen.	rg															
944	Ich werde mich dort nicht mehr aufhalten und meine Zeit verbringen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
945	Ich werde mich dort nicht mehr aufhalten und meine Zeit verbringen.	rg															
946	Ich werde sicher nicht mehr dorthin gehen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
947	Ich werde sicher nicht mehr dorthin gehen.	rg															
948	Ich ziehe meinen Hut vor den Kollegen und Kolleginnen aus der Küche und dem Service.	('SERVICE', 'POSITIVE', 'Service')	('SERVICE', 'POSITIVE', 'Kollegen und Kolleginnen aus der Küche')														
949	Ich ziehe meinen Hut vor den Kollegen und Kolleginnen aus der Küche und dem Service.	sg	sg														
950	Ich/Wir haben (zum Glück) seit Jahren nicht mehr so schlecht gegessen wie hier.	('FOOD', 'NEGATIVE', 'NULL')															
951	Ich/Wir haben (zum Glück) seit Jahren nicht mehr so schlecht gegessen wie hier.	fq															
952	Im 1.OG ist die Einrichtung sehr ungemütlich und viel zu wenig Abstand zwischen den Tischen.	('AMBIENCE', 'NEGATIVE', 'Einrichtung')	('AMBIENCE', 'NEGATIVE', 'Abstand zwischen den Tischen')														
953	Im 1.OG ist die Einrichtung sehr ungemütlich und viel zu wenig Abstand zwischen den Tischen.	ag	ag														
954	Im Sommer werden wir auf der netten Terrasse noch einmal die RESTAURANT_NAME besuchen.	('AMBIENCE', 'POSITIVE', 'Terrasse')															
955	Im Sommer werden wir auf der netten Terrasse noch einmal die RESTAURANT_NAME besuchen.	ag															
956	Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück.	('GENERAL-IMPRESSION', 'NEGATIVE', 'Uerige')															
957	Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück.	rg															
958	Immer gerne wieder!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
959	Immer gerne wieder!	rg															
960	Immer wieder gern.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
961	Immer wieder gern.	rg															
962	Immer wieder gerne der köbes war lustig typisch Kölsch.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')	('SERVICE', 'POSITIVE', 'köbes')														
963	Immer wieder gerne der köbes war lustig typisch Kölsch.	rg	sg														
964	Immer wieder gerne!!!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
965	Immer wieder gerne!!!	rg															
966	Immer wieder gerne, sehr nettes und kompetentes Personal.	('SERVICE', 'POSITIVE', 'Personal')	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')														
967	Immer wieder gerne, sehr nettes und kompetentes Personal.	sg	rg														
968	In Bezug auf Servicequalität kann die Leitung des Hauses nach unserer Erfahrung noch deutlich nachbessern und den Anreiz für Gäste erhöhen, dort zu speisen.	('SERVICE', 'NEGATIVE', 'Leitung')															
969	In Bezug auf Servicequalität kann die Leitung des Hauses nach unserer Erfahrung noch deutlich nachbessern und den Anreiz für Gäste erhöhen, dort zu speisen.	sg															
970	In diesem Restaurant fühlt man sich sofort willkommen.	('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')															
971	In diesem Restaurant fühlt man sich sofort willkommen.	rg															
972	In einem guten Restaurant wird einem das vorher gesagt, bevor sie auf den Tisch gestellt wird.	('SERVICE', 'NEGATIVE', 'NULL')															
973	In einem guten Restaurant wird einem das vorher gesagt, bevor sie auf den Tisch gestellt wird.	sg															
974	Ingesamt ist der gute Herr nicht in der Lage gewesen das Alt zu servieren so das wir nach dem Essen woanders eingekehrt sind.	('SERVICE', 'NEGATIVE', 'Herr')															
975	Ingesamt ist der gute Herr nicht in der Lage gewesen das Alt zu servieren so das wir nach dem Essen woanders eingekehrt sind.	sg															
976	Innovative Chefs mit intensivem Internet-Marketing; anfangs dachte ich, fast „zuviel des Guten“, was wird da auf mich zukommen.	('SERVICE', 'POSITIVE', 'Chefs')															
977	Innovative Chefs mit intensivem Internet-Marketing; anfangs dachte ich, fast „zuviel des Guten“, was wird da auf mich zukommen.	sg															
978	Insbesondere die Livemusik macht das Ganze zu einer tollen Erfahrung.	('AMBIENCE', 'POSITIVE', 'Livemusik')															
979	Insbesondere die Livemusik macht das Ganze zu einer tollen Erfahrung.	ag															
980	Insgesamt ein sehr schöner und gelungener Besuch im LOC in LOC.	('GENERAL-IMPRESSION', 'POSITIVE', 'LOC')															
981	Insgesamt ein sehr schöner und gelungener Besuch im LOC in LOC.	rg															
982	Insgesamt nicht weiterzuempfehlen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
983	Insgesamt nicht weiterzuempfehlen.	rg															
984	Insgesamt schöne Beauhausatmosphäre mit nettem Personal.	('AMBIENCE', 'POSITIVE', 'Beauhausatmosphäre')	('SERVICE', 'POSITIVE', 'Personal')														
985	Insgesamt schöne Beauhausatmosphäre mit nettem Personal.	ag	sg														
986	Interessanterweise enthielt die uns vorgelegte Speisekarte keine Pastagerichte, für ein italienisches Restaurant sehr sonderbar.	('FOOD', 'NEGATIVE', 'Speisekarte')															
987	Interessanterweise enthielt die uns vorgelegte Speisekarte keine Pastagerichte, für ein italienisches Restaurant sehr sonderbar.	fs															
988	Ioulianos Ist super freundlich und gibt tolle Empfehlungen denen wir gerne gefolgt sind.	('SERVICE', 'POSITIVE', 'Ioulianos')															
989	Ioulianos Ist super freundlich und gibt tolle Empfehlungen denen wir gerne gefolgt sind.	sg															
990	Ist nämlich einfach nur schlechter Stil.	('AMBIENCE', 'NEGATIVE', 'Stil')															
991	Ist nämlich einfach nur schlechter Stil.	ag															
992	Ja, die Soße ist lecker.	('FOOD', 'POSITIVE', 'Soße')															
993	Ja, die Soße ist lecker.	fq															
994	Jedoch wurde die angekündigte Fertigstellungszeit weit überschritten und wir haben über eine halbe Stunde gewartet.	('SERVICE', 'NEGATIVE', 'NULL')															
995	Jedoch wurde die angekündigte Fertigstellungszeit weit überschritten und wir haben über eine halbe Stunde gewartet.	sg															
996	Jetzt waren wir wieder hier, und ich muss sagen es hat stark nachgelassen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
997	Jetzt waren wir wieder hier, und ich muss sagen es hat stark nachgelassen.	rg															
998	Jetzt werde wir nicht mehr hingehen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
999	Jetzt werde wir nicht mehr hingehen.	rg															
1000	Kaeufer ging einige Tage spaeter mit Quittung um dies zu klaeren und wurde als Luegner dargestellt.	('SERVICE', 'NEGATIVE', 'Quittung')															
1001	Kaeufer ging einige Tage spaeter mit Quittung um dies zu klaeren und wurde als Luegner dargestellt.	sg															
1002	Kaffee und Teewasser waren kalt.	('FOOD', 'NEGATIVE', 'Kaffee')	('FOOD', 'NEGATIVE', 'Teewasser')														
1003	Kaffee und Teewasser waren kalt.	dq	dq														
1004	Kann die Location auf jeden Fall empfehlen.	('GENERAL-IMPRESSION', 'POSITIVE', 'Location')															
1005	Kann die Location auf jeden Fall empfehlen.	rg															
1006	Kein Chichi, tolle spanisch/griechische Küche, wir kommen 2 x im Monat und freuen uns drauf!!!	('FOOD', 'POSITIVE', 'Küche')	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')														
1007	Kein Chichi, tolle spanisch/griechische Küche, wir kommen 2 x im Monat und freuen uns drauf!!!	fq	rg														
1008	Kein Danke, kein Auf Wiedersehen .	('SERVICE', 'NEGATIVE', 'NULL')															
1009	Kein Danke, kein Auf Wiedersehen .	sg															
1010	Keine Einsicht bei Reklamation, also wir kommen nicht wieder.....	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')	('SERVICE', 'NEGATIVE', 'NULL')														
1011	Keine Einsicht bei Reklamation, also wir kommen nicht wieder.....	rg	sg														
1012	Keine Entschuldigung, unterirdisch, nie mehr	('SERVICE', 'NEGATIVE', 'NULL')															
1013	Keine Entschuldigung, unterirdisch, nie mehr	sg															
1014	Kellerbier auch gut.	('FOOD', 'POSITIVE', 'Kellerbier')															
1015	Kellerbier auch gut.	dq															
1016	Kinder lieben Trattoriw, Trattoria Team liebt Kinder.	('GENERAL-IMPRESSION', 'POSITIVE', 'Trattoriw')	('SERVICE', 'POSITIVE', 'Trattoria Team')														
1017	Kinder lieben Trattoriw, Trattoria Team liebt Kinder.	rg	sg														
1018	Klasse Laden super sympathische Kellner und eine nette Atmosphäre.	('GENERAL-IMPRESSION', 'POSITIVE', 'Laden')	('SERVICE', 'POSITIVE', 'Kellner')	('AMBIENCE', 'POSITIVE', 'Atmosphäre')													
1019	Klasse Laden super sympathische Kellner und eine nette Atmosphäre.	rg	sg	ag													
1020	Klasse, wie immer.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1021	Klasse, wie immer.	rg															
1022	Kleines Lokal mit unglaublich guter Küche !	('FOOD', 'POSITIVE', 'Küche')															
1023	Kleines Lokal mit unglaublich guter Küche !	fq															
1024	Komme sehr gerne wieder.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1025	Komme sehr gerne wieder.	rg															
1026	Kommen immer wieder gerne!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1027	Kommen immer wieder gerne!	rg															
1028	Kommen sehr gerne wieder!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1029	Kommen sehr gerne wieder!	rg															
1030	Kommen sicher wieder.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1031	Kommen sicher wieder.	rg															
1032	LOC Bedienung, lange Wartezeit am Tisch.	('SERVICE', 'NEGATIVE', 'Wartezeit')															
1033	LOC Bedienung, lange Wartezeit am Tisch.	sg															
1034	LOC EssenSuper BockWir hatten einen sehr schönen Abend im portugiesischen Viertel bei RESTAURANT_NAME.	('GENERAL-IMPRESSION', 'POSITIVE', 'RESTAURANT_NAME')															
1035	LOC EssenSuper BockWir hatten einen sehr schönen Abend im portugiesischen Viertel bei RESTAURANT_NAME.	rg															
1036	LOC der einfachsten Art und dazu ein schlechtes Preis - Leistung Verhältnis.	('PRICE', 'NEGATIVE', 'Preis - Leistung Verhältnis')															
1037	LOC der einfachsten Art und dazu ein schlechtes Preis - Leistung Verhältnis.	rp															
1038	LOC hat im laufe der Zeit nachgelassen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'LOC')															
1039	LOC hat im laufe der Zeit nachgelassen.	rg															
1040	LOC ist unterer Durchschnitt.	('GENERAL-IMPRESSION', 'NEGATIVE', 'LOC')															
1041	LOC ist unterer Durchschnitt.	rg															
1042	LOC ist zu empfehlen.	('GENERAL-IMPRESSION', 'POSITIVE', 'LOC')															
1043	LOC ist zu empfehlen.	rg															
1044	LOC mit Salat 15,50 Euro - sorry aber die Portion war so wenig, das geht gar nicht !	('FOOD', 'NEGATIVE', 'Portion')															
1045	LOC mit Salat 15,50 Euro - sorry aber die Portion war so wenig, das geht gar nicht !	fs															
1046	LOC war auch lecker.	('FOOD', 'POSITIVE', 'LOC')															
1047	LOC war auch lecker.	fq															
1048	LOC, hochwertig eingerichtetes Restaurant in dem auch Montagabend dringt durch die LOC direkt am LOC was los ist.	('AMBIENCE', 'POSITIVE', 'Restaurant')															
1049	LOC, hochwertig eingerichtetes Restaurant in dem auch Montagabend dringt durch die LOC direkt am LOC was los ist.	ag															
1050	Lange drauf gefreut, sehr enttäuscht.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1051	Lange drauf gefreut, sehr enttäuscht.	rg															
1052	Lecker	('FOOD', 'POSITIVE', 'NULL')															
1053	Lecker	fq															
1054	Lecker soweit.	('FOOD', 'POSITIVE', 'NULL')															
1055	Lecker soweit.	fq															
1056	Lecker.	('FOOD', 'POSITIVE', 'NULL')															
1057	Lecker.	fq															
1058	Leckere Suppen und Fischgerichte wie Dorade.	('FOOD', 'POSITIVE', 'Suppen')	('FOOD', 'POSITIVE', 'Fischgerichte')	('FOOD', 'POSITIVE', 'Dorade')													
1059	Leckere Suppen und Fischgerichte wie Dorade.	fq	fq	fq													
1060	Leckere Tapas zu vernünftigen Preisen haben wir hier gefunden.	('FOOD', 'POSITIVE', 'Tapas')	('PRICE', 'POSITIVE', 'Preisen')														
1061	Leckere Tapas zu vernünftigen Preisen haben wir hier gefunden.	fq	fp														
1062	Leckeres Bier, sehr freundliche Köbes, Außengastronomie trotz Baustelle ansprechend.	('FOOD', 'POSITIVE', 'Bier')	('SERVICE', 'POSITIVE', 'Köbes')	('AMBIENCE', 'POSITIVE', 'Außengastronomie')													
1063	Leckeres Bier, sehr freundliche Köbes, Außengastronomie trotz Baustelle ansprechend.	dq	sg	ag													
1064	Leckeres Essen und gemütliches Ambiente.	('FOOD', 'POSITIVE', 'Essen')	('AMBIENCE', 'POSITIVE', 'Ambiente')														
1065	Leckeres Essen und gemütliches Ambiente.	fq	ag														
1066	Leere Getränke wurden nicht abgeräumt, dazugekommene Personen wurden nicht nach Getränken gefragt und generell wirkte es eher so als wäre jede Frage zu viel und die Gäste eher störend.	('SERVICE', 'NEGATIVE', 'NULL')															
1067	Leere Getränke wurden nicht abgeräumt, dazugekommene Personen wurden nicht nach Getränken gefragt und generell wirkte es eher so als wäre jede Frage zu viel und die Gäste eher störend.	sg															
1068	Leider hat die Fischqualität in letzter Zeit sehr stark nachgelassen.	('FOOD', 'NEGATIVE', 'Fischqualität')															
1069	Leider hat die Fischqualität in letzter Zeit sehr stark nachgelassen.	fq															
1070	Leider ist es Massenabfertigung.	('FOOD', 'NEGATIVE', 'Massenabfertigung')															
1071	Leider ist es Massenabfertigung.	rg															
1072	Leider ist es aber sehr laut.	('AMBIENCE', 'NEGATIVE', 'NULL')															
1073	Leider ist es aber sehr laut.	ag															
1074	Leider konnten wir nicht alle gleichzeitig Essen, da das Lokal sehr voll war.	('AMBIENCE', 'NEGATIVE', 'Lokal')															
1075	Leider konnten wir nicht alle gleichzeitig Essen, da das Lokal sehr voll war.	ag															
1076	Leider mit den gleichen Mängel wie bei reklamieren Gericht.	('FOOD', 'NEGATIVE', 'Gericht')	('FOOD', 'NEGATIVE', 'NULL')														
1077	Leider mit den gleichen Mängel wie bei reklamieren Gericht.	fq	fq														
1078	Leider sehr enttäuschend!	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1079	Leider sehr enttäuschend!	rg															
1080	Leider sind die Kellner extrem gestresst und kurz angebunden.	('SERVICE', 'NEGATIVE', 'Kellner')															
1081	Leider sind die Kellner extrem gestresst und kurz angebunden.	sg															
1082	Leider war das Essen nur sehr durchschnittlich.	('FOOD', 'NEUTRAL', 'Essen')															
1083	Leider war das Essen nur sehr durchschnittlich.	fq															
1084	Leider war der Hauptgang Rinderfilet so zäh und durchwachsen dass dies den guten Gesamteindruck nachhaltig beschädigt hat.	('FOOD', 'NEGATIVE', 'Rinderfilet')															
1085	Leider war der Hauptgang Rinderfilet so zäh und durchwachsen dass dies den guten Gesamteindruck nachhaltig beschädigt hat.	fq															
1086	Leider war der Speck nicht wie angekündigt knusprig, sondern wurde eher in der Sauce gebraten.	('FOOD', 'NEGATIVE', 'Speck')															
1087	Leider war der Speck nicht wie angekündigt knusprig, sondern wurde eher in der Sauce gebraten.	fq															
1088	Leider war die per Mail bestätigte Reservierung nicht gebucht.	('SERVICE', 'NEGATIVE', 'Reservierung')															
1089	Leider war die per Mail bestätigte Reservierung nicht gebucht.	sg															
1090	Leider war unser Besuch mehr als enttäuschend.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1091	Leider war unser Besuch mehr als enttäuschend.	rg															
1092	Leider war zwar das Essen gut, der Service hat aber leider sehr zögerlich Getränke gebracht.	('FOOD', 'POSITIVE', 'Essen')	('SERVICE', 'NEGATIVE', 'Service')														
1093	Leider war zwar das Essen gut, der Service hat aber leider sehr zögerlich Getränke gebracht.	fq	sg														
1094	Leider waren wir dieses Mal mit den Speisen nicht zufrieden.	('FOOD', 'NEGATIVE', 'Speisen')															
1095	Leider waren wir dieses Mal mit den Speisen nicht zufrieden.	fq															
1096	Leider wurde ich durch die sehr vielen guten Bewertungen hierher gelotst.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1097	Leider wurde ich durch die sehr vielen guten Bewertungen hierher gelotst.	rm															
1098	Leute, macht einen großen Bogen um dieses Restaurant.	('GENERAL-IMPRESSION', 'NEGATIVE', 'Restaurant')															
1099	Leute, macht einen großen Bogen um dieses Restaurant.	rg															
1100	Lieber ein Restaurant in den Nebenstraßen aussuchen, als sich diesen Stress anzutun.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1101	Lieber ein Restaurant in den Nebenstraßen aussuchen, als sich diesen Stress anzutun.	rg															
1102	Luca war professionell und sehr freundlich.	('SERVICE', 'POSITIVE', 'Luca')															
1103	Luca war professionell und sehr freundlich.	sg															
1104	Macht weiter so 👍🏻	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1105	Macht weiter so 👍🏻	rg															
1106	Mal dort und werde wiederkommen wenn ich wieder in LOC bin.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1107	Mal dort und werde wiederkommen wenn ich wieder in LOC bin.	rg															
1108	Man bekommt feinste frische und meist hausgemachte Sachen, herrliche Aufstriche, vorzügliche Käse- und Wurstvariationen, duftende Brioche, süße und salzige Spezialitäten ... alles stets liebevoll zubereitet ... dazu das stylische Ambiente; vorzüglich geführt ist es ohnehin.	('FOOD', 'POSITIVE', 'NULL')	('FOOD', 'POSITIVE', 'Aufstriche')	('FOOD', 'POSITIVE', 'Käse- und Wurstvariationen')	('FOOD', 'POSITIVE', 'Brioche')	('FOOD', 'POSITIVE', 'Spezialitäten')	('AMBIENCE', 'POSITIVE', 'Ambiente')	('SERVICE', 'POSITIVE', 'NULL')									
1109	Man bekommt feinste frische und meist hausgemachte Sachen, herrliche Aufstriche, vorzügliche Käse- und Wurstvariationen, duftende Brioche, süße und salzige Spezialitäten ... alles stets liebevoll zubereitet ... dazu das stylische Ambiente; vorzüglich geführt ist es ohnehin.	fq	fq	fq	fq	fq	ag	sg									
1110	Man bezahlt viel Geld für eine kleine Pastaportion, die nicht gut schmeckt.	('FOOD', 'NEGATIVE', 'Pastaportion')	('PRICE', 'NEGATIVE', 'Pastaportion')	('FOOD', 'NEGATIVE', 'Pastaportion')													
1111	Man bezahlt viel Geld für eine kleine Pastaportion, die nicht gut schmeckt.	fq	fp	fs													
1112	Man fühlt sich gleich wie im Urlaub.	('AMBIENCE', 'POSITIVE', 'NULL')															
1113	Man fühlt sich gleich wie im Urlaub.	ag															
1114	Man kann gerne zum Wagner weil es eine urige Kneipe ist, LOC sollte man aber nicht unbedingt.	('GENERAL-IMPRESSION', 'NEUTRAL', 'Wagner')	('AMBIENCE', 'POSITIVE', 'Wagner')														
1115	Man kann gerne zum Wagner weil es eine urige Kneipe ist, LOC sollte man aber nicht unbedingt.	rg	ag														
1116	Man muss alles daran mögen, aber für ein bis vier Alt sollte man hier schon einkehren, wenn man in LOC ist.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
1117	Man muss alles daran mögen, aber für ein bis vier Alt sollte man hier schon einkehren, wenn man in LOC ist.	rg															
1118	Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen.	('SERVICE', 'POSITIVE', 'Team')	('SERVICE', 'POSITIVE', 'Chefs')	('FOOD', 'POSITIVE', 'Küche')	('SERVICE', 'POSITIVE', 'Personal')												
1119	Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen.	sg	sg	fq	sg												
1120	Man schmeckt die frischen Teigwaren, durch welche sich dieses Restaurant von anderen italienischen Restaurant abhebt.	('FOOD', 'POSITIVE', 'Teigwaren')															
1121	Man schmeckt die frischen Teigwaren, durch welche sich dieses Restaurant von anderen italienischen Restaurant abhebt.	fq															
1122	Man sitzt bequem, das Essen ist sehr gut, man muss allerdings Fleisch mögen.	('AMBIENCE', 'POSITIVE', 'NULL')	('FOOD', 'POSITIVE', 'Essen')	('FOOD', 'NEGATIVE', 'NULL')													
1123	Man sitzt bequem, das Essen ist sehr gut, man muss allerdings Fleisch mögen.	ag	fq	fs													
1124	Man sitzt draußen sehr schön auf der Terrasse unter alten Bäumen.	('AMBIENCE', 'POSITIVE', 'Terrasse unter alten Bäumen')															
1125	Man sitzt draußen sehr schön auf der Terrasse unter alten Bäumen.	ag															
1126	Man sitzt sehr schön, vor allem LOC Weihnachtszeit.	('AMBIENCE', 'POSITIVE', 'NULL')															
1127	Man sitzt sehr schön, vor allem LOC Weihnachtszeit.	ag															
1128	Man sollte auf festes Schuhwerk achten, da einen ansonsten bei dem klebenden Boden die selbigen ausgezogen werden.	('AMBIENCE', 'NEGATIVE', 'Boden')															
1129	Man sollte auf festes Schuhwerk achten, da einen ansonsten bei dem klebenden Boden die selbigen ausgezogen werden.	ag															
1130	Man sollte die Zeit anders nutzen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1131	Man sollte die Zeit anders nutzen.	rg															
